"Repo","Folder","Contributors"
"aws-workshop-samples","templates/aws-windows-dcv","greg-the-coder (3), Mark Milligan (1)"
"aws-workshop-samples","templates/aws-linux-base","default (7), greg-the-coder (1)"
"aws-workshop-samples","templates/aws-workshop-admin","default (2)"
"coder-templates","coder-dev","Ketan Gangatirkar (1)"
"coder-v2-templates","use-cases/k8s-jetbrains-repo","Matyas Danter (2), dak1001 (1), jatcod3r (1), Jullian Pepito (1)"
"coder-v2-templates","use-cases/envbox-vscode-repo","dak1001 (5)"
"coder-v2-templates","use-cases/k8s-vscode-repo","Matyas Danter (9), dak1001 (5), jatcod3r (1), Jullian Pepito (1)"
"coder-v2-templates","examples/docker-gateway-lang","Matyas Danter (1)"
"coder-v2-templates","examples/docker-dind/docker-with-docker-network","Matyas Danter (1)"
"coder-v2-templates","examples/docker-dind/docker-with-docker-bridge","Matyas Danter (1)"
"coder-v2-templates","examples/docker-dind/docker-network-mode-host","Matyas Danter (1)"
"coder-v2-templates","examples/aws-linux-ephemeral","Matyas Danter (1)"
"coder-v2-templates","examples/pod-with-jupyter","Matyas Danter (1)"
"coder-v2-templates","examples/aws-rdp-vs-key-secret","Matyas Danter (1)"
"coder-v2-templates","examples/docker-vnc-eclipse","Matyas Danter (1)"
"coder-v2-templates","examples/deployment-go","Matyas Danter (1)"
"coder-v2-templates","examples/pod-share-jupyter","Matyas Danter (1)"
"coder-v2-templates","examples/intellij-web","Matyas Danter (1)"
"coder-v2-templates","examples/code-marketplace-airgap","Asher (1)"
"coder-v2-templates","examples/pod-modules","Matyas Danter (1)"
"coder-v2-templates","examples/code-marketplace","Asher (1), Matyas Danter (1)"
"coder-v2-templates","examples/pod-with-novnc","Matyas Danter (1)"
"coder-v2-templates","examples/pod-jupyterlab-modules","Matyas Danter (1)"
"coder-v2-templates","examples/devcontainer-kubernetes","Matyas Danter (1)"
"coder-v2-templates","examples/envbox","Matyas Danter (1)"
"coder-v2-templates","examples/kubernetes-pod-1","Jullian Pepito (1), Matyas Danter (1)"
