"Deployment","Organization","TemplateFolder","TemplateId","CreatedAt","UpdatedAt","TemplateName","TemplateDisplayName","CreatorName","ActiveUserCount","OrganizationName","OrganizationDisplayName","Contributors"
"eng-dev.demo.coder.com","org","kubernetes","2403457f-e66f-4e5c-ad11-8f5fdcfcfff6","05/02/2025 23:02:44","05/02/2025 23:02:44","kubernetes","Kubernetes (Deployment)","roger","1","org","org","roger (11)"
"eng-dev.demo.coder.com","us-central","win32codeserver","790b4ff1-523f-4768-8302-062f55190cb3","14/02/2025 20:22:23","18/02/2025 19:34:39","win32codeserver","","jullian","0","us-central","Coder","jullian (54)"
"eng-dev.demo.coder.com","us-central","kubernetes-sean","f2282e11-80d8-4dd5-ab91-5b887b6d3ce5","18/03/2025 18:55:32","19/03/2025 13:09:51","kubernetes-sean","Kubernetes (select multiple repos)","seanwalker","1","us-central","Coder","seanwalker (23)"
"eng-dev.demo.coder.com","us-central","aws-devcontainer-envbuilder","29485df8-8cdc-40ff-923c-50b690458855","06/02/2025 19:04:51","06/02/2025 19:04:51","aws-devcontainer-envbuilder","","eric","0","us-central","Coder","eric (1)"
"eng-dev.demo.coder.com","us-central","eric-pod-username","a01e2ca4-a6bb-4cc4-a7e5-e550b291c78b","22/07/2025 15:30:38","30/07/2025 09:51:53","eric-pod-username","","eric","1","us-central","Coder","eric (12)"
"eng-dev.demo.coder.com","us-central","kubernetes-new","dba777ca-385b-47a8-ae36-fd56382ffc6e","04/02/2025 03:48:30","07/08/2025 15:28:18","kubernetes-new","Kubernetes (Deployment)","roger","7","us-central","Coder","roger (8), daveahr (1)"
"eng-dev.demo.coder.com","us-central","vm-aws-base-windows","3e43d5c8-4935-435f-95e9-9ba547eedb6f","17/01/2025 17:13:43","23/01/2025 18:24:09","vm-aws-base-windows","AWS EC2 (Windows w/ DCV)","jullian","1","us-central","Coder","jullian (2)"
"eng-dev.demo.coder.com","us-central","k8s-with-ray","9f927611-bcc5-45e5-ab5d-37e092ca391f","06/06/2025 20:00:55","06/06/2025 20:57:08","k8s-with-ray","Ray.io","michaelpatterson","0","us-central","Coder","michaelpatterson (12)"
"eng-dev.demo.coder.com","us-central","trevornetes","3d804c45-acde-417c-8810-78775a0f660e","09/04/2025 22:23:50","09/04/2025 22:23:50","trevornetes","Kubernetes (Deployment)","trevorgordon","0","us-central","Coder","trevorgordon (1)"
"eng-dev.demo.coder.com","us-central","claude-bedrock-ec2","6089084f-632b-403f-97dd-979b44f023a8","21/04/2025 21:14:34","21/04/2025 21:15:17","claude-bedrock-ec2","","roger","1","us-central","Coder","roger (1)"
"eng-dev.demo.coder.com","us-central","envbox","3711bb03-d370-4b2e-bd67-48db3ed9fbb7","28/04/2025 20:43:30","28/04/2025 20:49:33","envbox","","michaelpatterson","1","us-central","Coder","michaelpatterson (4)"
